url,primary_keyword,secondary_keyword,region,language,device
https://www.fourseasons.com/hangzhou/seasonal/chinese-new-year/,Hangzhou Chinese New Year,,CN,en,mobile
https://www.fourseasons.com/hangzhou/spa/,hangzhou spa,,CN,en,mobile
https://www.fourseasons.com/hangzhou/villa-residence-rentals/,west lake villa hangzhou,,CN,en,mobile
https://www.fourseasons.com/hangzhou/weddings/,hangzhou wedding,,CN,en,mobile
https://www.fourseasons.com/hongkong/,"five-star-hotel hong kong 
luxury hotel hong kong island","four seasons hong kong
5-star hotels in hong kong",HK,en,mobile
https://www.fourseasons.com/hongkong/accommodations/,hong kong suites,hotel suite hong kong,HK,en,mobile
https://www.fourseasons.com/hongkong/dining/,fine dining hong kong,"four seasons hong kong restaurants
lunch buffet hong kong
michelin star restaurants hong kong",HK,en,mobile
https://www.fourseasons.com/hongkong/dining/restaurants/caprice/,"caprice hong kong
michelin star restaurants hong kong","michelin hk
french restaurant hong kong
michelin restaurants hong kong  
private dining hong kong",HK,en,mobile
https://www.fourseasons.com/hongkong/dining/restaurants/sushi-saito/,"sushi saito hong kong
japanese restaurant hong kong",omakase hong kong,HK,en,mobile
https://www.fourseasons.com/hongkong/offers/,hong kong hotel offers,,HK,en,mobile
https://www.fourseasons.com/hongkong/photos-and-videos/,hong kong photos,,HK,en,mobile
https://www.fourseasons.com/hongkong/seasonal/chinese-new-year/,chinese new year in hong kong,,HK,en,mobile
https://www.fourseasons.com/hongkong/seasonal/christmas/,christmas in hong kong,,HK,en,mobile
https://www.fourseasons.com/hongkong/seasonal/new-year/,new years eve in hong kong,,HK,en,mobile
https://www.fourseasons.com/hongkong/services-and-amenities/family/,family hotel hong kong,family hotel hong kong island,HK,en,mobile
https://www.fourseasons.com/hongkong/spa/,hong kong spa,four seasons spa hong kong,HK,en,mobile
https://www.fourseasons.com/hongkong/weddings/,hong kong weddings,,HK,en,mobile
https://www.fourseasons.com/houston/,downtown houston hotel | luxury hotel houston,,US,en,mobile
https://www.fourseasons.com/houston/accommodations/,suites houston | houston hotel rooms,,US,en,mobile
https://www.fourseasons.com/houston/accommodations/extended-stays/,extended stays houston | extended stays downtown houston,,US,en,mobile
https://www.fourseasons.com/houston/dining/,upscale restaurants houston | houston upscale bars,downtown houston restaurants | fine dining houston,US,en,mobile
https://www.fourseasons.com/houston/experiences/,houston experiences | things to do houston,,US,en,mobile
https://www.fourseasons.com/houston/offers/,houston hotel packages | houston hotel offers,,US,en,mobile
https://www.fourseasons.com/houston/photos-and-videos/,houston photos | houston videos,,US,en,mobile
https://www.fourseasons.com/houston/spa/,luxury spa houston | spa downtown houston,,US,en,mobile
https://www.fourseasons.com/houston/villa-residence-rentals/,luxury rentals houston | houston vacation rentals,,US,en,mobile
https://www.fourseasons.com/houston/weddings/,houston weddings | downtown houston weddings,,US,en,mobile
